store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
1510385304919427114,8298.15947665,16596.318953300008,0,5154.336847716668,5154.336847716668,5154.336847716668
6938630564937559750,6398.612879933333,12797.225759866666,0,0,0,0
4788802137286232759,0,0,0,0,0,0
8789289407829432839,838.9547935333334,1677.9095870666667,0,6022.963549749999,6022.963549749999,6022.963549749999
3141715117102295406,9360.552802383336,18721.105604766664,0,0,0,0
1369225992802026851,2442.861900716667,4885.723801433335,0,14522.09659395,14522.09659395,14522.09659395
1698460524902365613,0,0,0,0,0,0
326856182599942694,0,0,0,8977.125180133333,8977.125180133333,8977.125180133333
5925377423515621335,5804.731663483333,11609.463326966668,0,0,0,0
3053071414496187392,8481.953556,16963.907112,0,0,0,0
2885444771086778480,0,0,0,0,0,0
2427606101443985253,15222.790326566674,30445.58065313336,0,1669.0752863333332,1669.0752863333332,1669.0752863333332
1393311362166547290,0,0,0,0,0,0
5576214754487069008,2411.6555526166667,4823.311105233333,0,7120.530658250002,7120.530658250002,7120.530658250002
8394450966472245863,1814.7516424166668,3629.503284833334,0,0,0,0
3556074236010845990,1548.8582313833335,3097.716462766667,0,8448.519167066666,8448.519167066666,8448.519167066666
5835963302848914258,10885.557334116666,21771.11466823333,0,0,0,0
342546232744333035,5811.492680916667,11622.98536183334,0,11121.828601066665,11121.828601066665,11121.828601066665
7860979717434645220,0,0,0,12274.261154883328,12274.261154883328,12274.261154883328
8347424541005717606,12122.318609583332,24244.63721916669,0,0,0,0
4747602859000445887,0,0,0,9719.82389378333,9719.82389378333,9719.82389378333
7747953514382103653,356.3078012666667,712.6156025333333,0,8803.138009916665,8803.138009916665,8803.138009916665
7956598466544189906,0,0,0,7457.5759528,7457.5759528,7457.5759528
1937609286511387636,292.53882251666664,585.0776450333333,0,2650.7532813833327,2650.7532813833327,2650.7532813833327
497059424242647445,12031.988889716667,24063.97777943332,0,0,0,0
8631502755712457479,9811.000303966666,19622.000607933347,0,0,0,0
1793088119440091715,2818.2424804999996,5636.484961,0,7559.515070283336,7559.515070283336,7559.515070283336
8061105499309564874,12847.510043783333,25695.020087566652,0,10.224318433333334,10.224318433333334,10.224318433333334
2281235811578479437,5535.640209433334,11071.280418866669,0,0,0,0
3254165326605521586,5076.156359083334,10152.31271816666,0,2033.9046715166667,2033.9046715166667,2033.9046715166667
6920449051675615141,13214.145175583335,26428.290351166663,0,0,0,0
4293987020304687343,0,0,0,4441.555423050001,4441.555423050001,4441.555423050001
5450134941138074122,0,0,0,8919.789980733334,8919.789980733334,8919.789980733334
8037115054710371799,0,0,0,5787.675942700001,5787.675942700001,5787.675942700001
8552633651061698856,12021.192729883327,24042.38545976667,0,0,0,0
4004615872198583011,0,0,0,0,0,0
1402891136913453677,0,0,0,14541.54018386667,14541.54018386667,14541.54018386667
3548097540828812546,0,0,0,14405.28012674999,14405.28012674999,14405.28012674999
4074153383018412790,13417.614222049999,26835.2284441,0,0,0,0
1785372838175960785,0,0,0,4061.9706765333326,4061.9706765333326,4061.9706765333326
5705225634147300631,13544.381511400006,27088.76302279997,0,0,0,0
5189564233234590326,0,0,0,0,0,0
3652391077375909782,11164.805594750003,22329.611189499985,0,0,0,0
3922040476371561572,2515.863848533333,5031.727697066666,0,9712.505581599995,9712.505581599995,9712.505581599995
